Year,Fixed_Effect
1996.0,0.06287203174416821
1997.0,0.19096070021823272
1998.0,0.49192239599011345
1999.0,-0.008727430111101095
2000.0,0.10745472720934929
2001.0,0.12816967744167077
2002.0,-8.768322587646843e-06
2003.0,0.016103175227104596
2004.0,0.037927393206613425
2005.0,0.0539524109271378
2006.0,-0.0047140913378816915
2007.0,-0.006135469310528566
2008.0,0.0296759623766105
2009.0,0.10562898225204638
2010.0,-0.06604310384357301
2011.0,0.018146606365039133
2012.0,0.06636202899685867
2013.0,0.07622117770058554
2014.0,0.09809584210250796
2015.0,0.13179541820918034
2016.0,0.05815816019227212
2017.0,0.04566798310873669
2018.0,0.03441811033155381
2019.0,0.026971406263275967
2020.0,0.030856716119710983
2021.0,-0.016928387353797036
2022.0,0.10485760820299324
2023.0,0.05093804758196822
2024.0,0.06022751654612338
