country,variable,specification,adf_statistic,pvalue,lags_used,nobs,critical_1pct,critical_5pct,critical_10pct
Indonesia,ca_gdp,Constant,-4.811010049102421,5.180887993304318e-05,0,28,-3.6889256286443146,-2.9719894897959187,-2.6252957653061224
Indonesia,ca_gdp,Const+Trend,-3.7128087841722093,0.021527492185635905,1,27,-4.339881664888482,-3.5877977071584612,-3.2293340725499164
Malaysia,ca_gdp,Constant,-1.743512555876295,0.40884432422178696,4,24,-3.7377092158564813,-2.9922162731481485,-2.635746736111111
Malaysia,ca_gdp,Const+Trend,-1.6942872981504629,0.7533721939655329,4,24,-4.395041166087963,-3.6123930960648147,-3.243216493055556
Filipina,ca_gdp,Constant,-5.855009392108525,3.5167786746796514e-07,1,27,-3.6996079738860943,-2.9764303469999494,-2.627601001371742
Filipina,ca_gdp,Const+Trend,-6.819733200154559,3.5991562107239673e-08,1,27,-4.339881664888482,-3.5877977071584612,-3.2293340725499164
Singapura,ca_gdp,Constant,-2.6557469070583877,0.08201397696382706,4,24,-3.7377092158564813,-2.9922162731481485,-2.635746736111111
Singapura,ca_gdp,Const+Trend,-2.743399394408681,0.21850809203622767,4,24,-4.395041166087963,-3.6123930960648147,-3.243216493055556
Thailand,ca_gdp,Constant,-4.957622266854694,2.6902891920117804e-05,0,28,-3.6889256286443146,-2.9719894897959187,-2.6252957653061224
Thailand,ca_gdp,Const+Trend,-4.994941442110177,0.00021015655623772832,0,28,-4.3244664923469385,-3.580882474489796,-3.2254187317784258
